,Periodo,Alfilorios Volumen (hm3),Alfilorios Porcentaje,Arbón Volumen (hm3),Arbón Porcentaje,La Barca Volumen (hm3),La Barca Porcentaje,Doiras Volumen (hm3),Doiras Porcentaje,Salime Volumen (hm3),Salime Porcentaje,Tanes - Rioseco Volumen (hm3),Tanes - Rioseco Porcentaje
200,2014-06,7.2,85.61,34.89,86.36,32.64,98.43,100.53,87.72,174.35,65.64,35.25,93.85
201,2014-07,6.23,74.08,33.95,84.04,32.99,99.49,110.92,96.79,123.76,46.59,31.88,84.88
202,2014-08,5.01,59.57,35.73,88.44,31.68,95.54,111.1,96.95,92.01,34.64,27.41,72.98
203,2014-09,3.4,40.43,34.24,84.75,28.37,85.56,106.55,92.98,74.15,27.92,20.68,55.06
204,2014-10,2.68,31.87,35.84,88.71,24.48,73.82,91.59,79.92,83.02,31.25,16.1,42.87
205,2014-11,2.59,30.8,33.74,83.52,16.73,50.45,114.45,99.87,141.47,53.26,16.58,44.14
206,2014-12,4.06,48.28,35.4,87.62,19.45,58.66,94.33,82.31,133.62,50.3,28.13,74.89
207,2014,5.66,67.25,34.77,86.08,25.34,76.43,106.08,92.57,166.64,62.73,28.18,75.02
208,2015-01,5.03,59.81,33.76,83.56,17.35,52.32,105.6,92.15,154.32,58.1,26.57,70.74
209,2015-02,6.84,81.33,36.14,89.46,22.51,67.88,111.91,97.65,203.73,76.7,30.78,81.95
210,2015-03,7.9,93.94,35.67,88.29,21.89,66.01,106.33,92.78,200.83,75.61,32.96,87.75
211,2015-04,7.9,93.94,34.56,85.55,28.52,86.01,99.4,86.74,229.19,86.28,34.01,90.55
212,2015-05,7.61,90.49,35.65,88.24,31.95,96.35,102.09,89.08,250.17,94.18,35.65,94.92
213,2015-06,6.52,77.53,34.4,85.15,32.22,97.17,92.86,81.03,230.92,86.93,34.59,92.09
214,2015-07,5.21,61.95,34.11,84.43,32.82,98.98,96.68,84.36,188.76,71.06,30.33,80.75
215,2015-08,3.85,45.78,33.23,82.26,31.67,95.51,84.58,73.8,179.28,67.49,26.8,71.34
216,2015-09,3.21,38.17,33.44,82.78,28.91,87.18,76.42,66.68,176.11,66.3,23.41,62.33
217,2015-10,3.52,41.86,37.87,93.74,22.65,68.31,72.16,62.97,158.45,59.65,20.27,53.96
218,2015-11,4.09,48.63,36.31,89.87,17.59,53.05,77.94,68.01,123.01,46.31,32.26,85.88
219,2015-12,4.23,50.3,38.01,94.09,16.74,50.48,66.88,58.36,123.21,46.38,25.49,67.86
220,2015,5.49,65.31,35.26,87.29,25.4,76.6,91.07,79.47,184.83,69.58,29.43,78.34
221,2016-01,4.88,58.03,36.84,91.18,21.01,63.36,91.42,79.77,218.24,82.16,28.99,77.18
222,2016-02,6.87,81.69,37.2,92.07,17.5,52.77,90.13,78.65,253.13,95.3,28.9,76.95
223,2016-03,7.9,96.81,36.39,92.54,17.53,54.13,93.26,81.38,201.52,76.07,32.77,86.42
224,2016-04,7.9,93.94,38.1,94.3,24.84,74.91,88.04,76.83,240.89,90.69,33.39,88.9
225,2016-05,7.9,93.94,37.7,93.32,32.7,98.61,87.37,76.24,256.44,96.54,36.06,96.02
226,2016-06,7.9,93.94,38.13,94.37,32.56,98.19,84.49,73.73,263.47,99.19,36.23,96.46
227,2016-07,7.46,88.7,37.34,92.42,27.79,83.81,83.03,72.46,243.69,91.74,34.79,92.63
228,2016-08,6.35,75.51,38.1,94.3,27.99,84.41,84.62,73.83,211.47,79.61,30.54,81.31
229,2016-09,5.36,63.73,36.2,89.59,23.16,69.84,78.29,68.32,189.35,71.28,27.67,73.67
230,2016-10,3.91,46.49,35.53,87.95,23.21,69.99,66.72,58.22,147.89,55.67,23.49,62.54
231,2016-11,4.53,53.86,37.68,93.27,18.19,54.86,79.1,69.02,156.11,58.77,26.1,69.49
232,2016-12,4.43,52.68,36.53,90.42,17.4,52.47,71.71,62.57,138.88,52.28,25.51,67.92
233,2016,6.28,74.94,37.14,92.15,23.66,71.45,83.18,72.58,210.09,79.11,30.37,80.79
234,2017-01,4.18,49.7,35.78,88.56,19.32,58.26,55.68,48.59,118.07,44.45,26.76,71.25
235,2017-02,4.86,57.79,37.84,93.66,20.6,62.12,72.64,63.39,195.98,73.78,29.14,77.58
236,2017-03,5.08,60.4,37.14,91.93,18.94,57.12,80.81,70.52,205.2,77.25,30.05,80.01
237,2017-04,4.7,55.89,36.11,89.38,24.54,74.01,79.25,69.15,219.92,82.79,33.38,88.87
238,2017-05,3.99,47.44,37.14,91.93,31.03,93.58,72.87,63.59,252.57,95.08,34.53,91.93
239,2017-06,3.38,40.19,35.86,88.76,32.76,98.79,80.26,70.04,249.46,93.91,33.43,89.0
240,2017-07,2.71,32.22,35.95,88.99,32.76,98.79,80.45,70.2,243.3,91.59,33.75,89.86
241,2017-08,2.38,28.3,36.75,90.97,32.78,98.85,87.02,75.93,212.12,79.86,29.45,78.41
242,2017-09,2.63,31.27,37.45,92.7,26.75,80.68,67.89,59.24,158.45,59.65,27.53,73.3
243,2017-10,2.17,25.8,37.7,93.32,21.88,65.98,62.8,54.8,106.65,40.15,21.56,57.4
244,2017-11,3.35,39.83,37.62,93.12,20.8,62.73,73.44,64.08,87.95,33.11,29.69,79.05
245,2017-12,5.26,62.55,38.13,94.38,14.12,42.58,87.53,76.38,117.45,44.22,24.19,64.4
