"Agua embalsada"

"Periodo";"Alfilorios Volumen (hm3)";"Alfilorios Porcentaje";"Arbón Volumen (hm3)";"Arbón Porcentaje";"La Barca Volumen (hm3)";"La Barca Porcentaje";"Doiras Volumen (hm3)";"Doiras Porcentaje";"Salime Volumen (hm3)";"Salime Porcentaje";"Tanes - Rioseco Volumen (hm3)";"Tanes - Rioseco Porcentaje"
"2018-06";8.41;100.00;36.81;91.11;32.68;98.55;87.24;90.42;261.09;98.29;36.17;96.30
"2018-07";8.41;100.00;35.95;88.99;30.49;91.95;85.56;88.68;227.61;85.69;35.61;94.81
"2018-08";8.02;95.36;36.78;91.04;30.02;90.53;86.51;89.66;195.98;73.78;33.11;88.15
"2018-09";7.28;86.54;36.06;89.25;29.50;88.96;80.81;83.75;157.16;59.17;29.04;77.32
"2018-10";6.31;74.97;36.08;89.32;21.77;65.64;77.14;79.95;132.00;49.69;24.32;64.76
"2018-11";7.29;86.68;36.70;90.84;19.20;57.90;81.72;84.70;155.82;58.66;30.51;81.23
"2018-12";7.15;85.02;37.14;91.93;17.00;51.27;82.70;85.72;132.42;49.85;24.70;65.76
"2018";7.77;92.33;37.02;91.63;24.16;72.85;83.84;86.90;198.90;74.88;30.61;81.48
"2019-01";7.29;86.68;36.70;90.84;19.80;59.71;77.20;80.01;174.16;65.57;25.97;69.14
"2019-02";8.41;100.00;37.48;92.77;19.24;58.02;89.51;92.77;202.83;76.36;28.10;74.81
"2019-03";8.28;98.45;37.42;92.62;22.23;67.04;88.92;92.16;198.50;74.73;32.47;86.45
"2019-04";8.18;97.27;36.78;91.04;27.82;83.90;89.83;93.10;223.08;83.98;33.43;89.00
"2019-05";7.64;90.87;36.75;90.97;31.75;95.76;91.42;94.75;230.39;86.73;36.43;97.00
"2019-06";6.87;81.69;37.79;93.54;31.49;94.96;88.53;91.76;233.88;88.05;36.64;97.55
"2019-07";6.26;74.44;36.92;91.39;29.16;87.94;90.85;94.16;184.76;69.56;33.96;90.42
"2019-08";5.02;59.69;37.14;91.93;29.01;87.49;88.40;91.62;172.97;65.12;29.20;77.74
"2019-09";4.26;50.65;38.07;94.23;29.12;87.82;87.66;90.86;128.60;48.41;26.71;71.11
"2019-10";4.14;49.23;37.42;92.62;27.15;81.88;83.84;86.90;113.93;42.89;28.07;74.73
"2019-11";6.09;72.41;38.07;94.23;30.46;91.86;92.32;95.69;231.68;87.22;28.28;75.29
"2019-12";8.16;97.03;37.03;91.66;16.66;50.24;88.69;91.92;254.66;95.87;25.82;68.74
"2019";6.72;79.87;37.30;92.32;26.16;78.88;88.10;91.31;195.79;73.71;30.42;81.00
"2020-01";7.98;97.89;36.11;89.40;17.03;51.35;77.91;80.75;166.64;62.73;27.70;73.75
"2020-02";7.79;95.55;37.11;91.88;18.15;54.75;86.44;89.59;176.61;66.49;28.89;76.92
"2020-03";8.14;99.77;36.95;91.46;16.38;49.40;82.18;85.17;206.32;77.67;29.43;78.35
"2020-04";8.16;100.00;37.42;92.64;14.76;44.53;87.43;90.62;225.15;84.76;32.21;85.76
"2020-05";8.16;100.00;37.59;93.05;30.94;93.31;87.27;90.45;229.64;86.45;36.11;96.13
"2020-06";7.75;95.06;37.76;93.47;31.91;96.23;88.50;91.72;204.01;76.80;36.32;96.69
"2020-07";6.96;85.29;36.28;89.81;32.64;98.45;86.38;89.53;192.82;72.59;34.34;91.44
"2020-08";5.59;68.56;38.44;95.15;32.39;97.68;83.96;87.02;180.82;68.07;29.48;78.48
"2020-09";5.08;62.29;37.31;92.36;28.25;85.21;70.12;72.67;147.89;55.68;26.51;70.59
"2020-10";6.13;75.18;36.20;89.60;25.45;76.76;80.11;83.03;144.60;54.44;29.97;79.80
"2020-11";5.70;69.94;37.00;91.60;21.15;63.78;76.26;79.04;135.20;50.90;26.47;70.47
"2020-12";6.38;78.18;35.34;87.49;14.38;43.38;77.11;79.92;144.77;54.50;26.82;71.41
"2020";6.99;85.64;36.96;91.49;23.62;71.24;81.97;84.96;179.54;67.59;30.35;80.82
"2021-01";7.22;88.50;36.03;89.19;20.70;62.42;85.27;88.38;141.20;53.16;28.13;74.89
"2021-02";8.30;101.72;35.95;88.98;17.15;51.72;84.90;87.99;250.57;94.33;29.30;78.00
"2021-03";7.91;96.97;37.62;93.12;23.42;70.62;89.05;92.29;186.19;70.10;31.33;83.41
"2021-04";7.66;93.97;37.09;91.81;26.48;79.86;88.92;92.16;182.75;68.80;32.67;87.00
"2021-05";8.09;99.22;37.11;91.88;31.60;95.32;86.38;89.53;208.99;78.68;36.45;97.06
"2021-06";8.30;101.72;37.42;92.64;32.31;97.45;87.69;90.89;215.13;80.99;36.38;96.87
"2021-07";7.85;96.25;36.36;90.01;31.53;95.09;82.21;85.20;196.86;74.11;35.48;94.47
"2021-08";6.54;80.16;37.03;91.67;30.21;91.13;76.12;78.89;162.90;61.33;31.42;83.67
"2021-09";5.29;64.86;37.62;93.12;27.33;82.43;72.53;75.17;124.01;46.69;28.72;76.48
"2021-10";4.09;50.20;36.36;90.01;25.22;76.07;72.08;74.70;108.32;40.78;26.17;69.67
"2021-11";4.55;55.82;36.67;90.77;19.14;57.72;79.28;82.17;107.32;40.40;24.40;64.96
"2021-12";6.64;81.45;36.75;90.98;16.87;50.89;74.12;76.83;115.15;43.35;27.45;73.08
"2021";6.87;84.24;36.83;91.18;25.16;75.89;81.54;84.52;166.62;62.73;30.66;81.63
"2022-01";7.17;87.92;36.97;91.53;17.63;53.19;77.05;79.86;142.02;53.47;26.78;71.31
"2022-02";6.74;82.59;35.95;88.98;14.04;42.34;81.54;84.51;117.78;44.34;28.84;76.79
"2022-03";7.58;92.90;38.04;94.17;20.86;62.91;72.90;75.55;132.99;50.07;33.01;87.88
"2022-04";8.22;100.72;36.20;89.60;26.75;80.67;84.46;87.54;110.38;41.56;34.38;91.54
"2022-05";7.80;95.66;36.61;90.63;32.54;98.15;71.15;73.74;117.74;44.32;36.53;97.26
"2022-06";7.30;89.44;37.53;92.92;31.38;94.64;63.76;66.08;137.75;51.86;35.07;93.38
"2022-07";6.59;80.75;37.67;93.26;31.72;95.66;63.19;65.49;135.73;51.10;35.05;93.33
"2022-08";5.51;67.52;38.75;95.92;30.74;92.72;70.48;73.05;113.97;42.91;32.02;85.26
"2022-09";4.44;54.40;35.73;88.44;29.65;89.43;73.81;76.50;98.78;37.19;28.74;76.51
"2022-10";3.36;41.22;38.01;94.10;31.14;93.91;68.02;70.50;91.64;38.53;28.05;74.67
"2022-11";2.99;36.71;36.61;90.63;16.91;50.99;76.41;79.19;118.57;49.86;28.58;76.09
"2022-12";3.42;41.97;38.10;94.31;17.34;52.31;75.22;77.96;145.66;61.25;25.33;67.44
"2022";5.93;72.65;37.18;92.04;25.06;75.58;73.16;75.83;121.92;47.20;31.03;82.62
"2023-01";4.71;57.76;38.10;94.31;18.26;55.06;94.96;98.43;220.53;92.74;26.48;70.49
